id,shopName,ownerName,phone,address,gpsLatitude,gpsLongitude,creditBalance,isActive,createdAt,updatedAt,externalId,routeName
161,HOTEL NEW RUCHI MURUGANKURICHI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
162,HOTEL SRI SEENIVASA RAJAVVALLIPURAM ROAD SIDE,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
163,I TEA STALL MELAPALAYAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
164,IASS STAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
165,"IBRAHIM STORE(URAMIM, 3RD STREET, MELAPALAYAM)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
166,ILAHI TEA STALL VANNARPETTAI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
167,"IMRAN SWEETS AND TEA COFFEE, MELAPALAYAM",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
168,INDIRA KUMAR STORE (MANUR),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
169,INDRAKUMAR STORE MANUR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
170,"ISAI THENIR VIRUNTHU TEA STALL SEVALAPERI RD, BARATH PETROL BULK OPP",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
171,ISHWARYA COOL DRINKS (PETTAI POLICE STATION),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
172,ISITHA VEG RESTAURANT(VM CHATHRAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
173,J D STORE TNAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
174,J. JAISHA INJI TEA KADAI(MELAPALAYAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
175,J.D STORE THIYAGARAJA NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
176,"J.K DIVINE MERCY(OPP STC COLLEGE ROAD, PERUMALBURAM)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
177,J.P STORES MANUR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
178,"JAI MARUTHI STORE PETTAI(POLICE STATION OPP, SIVA NURSING SCHOOL)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
179,JAI SELVI PALAMUTHIR SANKARNAGAR RAJAVALLIPURAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
180,JAI SRI SNACKS JUNCTION,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
181,JAM JAM TEA COFFEE(PETTAI PALLIVASAL OPP),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
182,JANANI BALABAGYA NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
183,"JAYA COOL BAR(MADURAI ROAD, SANKARNAGAR)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
184,JAYAM STORE,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
